word	meaning	example	example_ja
a matter of course	obvious thing	Apologizing after stepping on a Lego is a matter of course.	レゴを踏んだら謝るのは当然のこと。
ambience	atmosphere	The café had relaxing ambience and suspiciously loud cake.	カフェは落ち着いた雰囲気で、ケーキの音だけ妙に大きかった。
ambiguous	unclear	His “maybe” was so ambiguous it hurt my brain.	彼の「たぶん」は曖昧すぎて頭が痛くなった。
ambivalence	mixed feelings	I felt ambivalence toward waking up before noon.	昼前に起きることには複雑な気持ちがある。
ambulance	emergency car	An ambulance passed by while I debated pizza toppings.	救急車が通ったけど、私はピザのトッピングで悩んでた。
amenable	open to	My cat is not amenable to the idea of diet food.	うちの猫はダイエットフードを受け入れる気ゼロ。
amid	in the middle of	Amid the chaos, I saved my coffee first.	混乱の中、まずコーヒーを救った。
amorphous	shapeless	My weekend plans are as amorphous as a cloud.	週末の予定は雲のように形がない。
amount to ~	end up as	His snack debt amounts to a small fortune.	彼のお菓子代のツケはちょっとした財産になる。
ample	enough (and more)	We had ample snacks… for about 10 minutes.	お菓子はたっぷりあった…最初の10分間だけ。
anaesthetic	painkiller	They gave me an anaesthetic. I still felt the dentist’s judgment.	麻酔は効いたが、歯医者の冷たい視線は効かなかった。
analogous	similar in some way	Her study method is oddly analogous to cooking pasta.	彼女の勉強法はなぜかパスタを茹でるのに似ている。
analogy	comparison	Explaining English with ramen analogies is my superpower.	ラーメンの比喩で英語を説明するのが私の必殺技。
analysis	breakdown	My snack consumption analysis shows spikes on Mondays.	私のお菓子消費分析は月曜にピークがある。
anarchy	chaos	Without coffee, my morning turns into pure anarchy.	コーヒーがない朝は完全な無政府状態になる。
ancestor	past family	My ancestor probably didn’t snack this much.	先祖は多分こんなにお菓子食べてない。
anchor	heavy stopper	I need an emotional anchor when Wi-Fi is down.	Wi-Fiが落ちたとき、心のアンカーが必要になる。
and yet	still	It was raining cats and dogs, and yet… I forgot my umbrella.	土砂降りだったのに、それでも傘を忘れた。
~ and so forth	etc	I packed snacks, a blanket, ~ and so forth.	スナック、毛布、その他もろもろを詰めた。
anecdotal	story-based	Her advice was purely anecdotal, but oddly convincing.	彼女の助言は完全に体験談ベースだったが、妙に説得力があった。
annihilate	destroy	He annihilated the pizza like it insulted his family.	彼はピザをまるで家族の敵のように消し去った。
annotation	note	The textbook was unreadable without my chaotic annotations.	カオスな注釈がなければ教科書は読めなかった。
annual	yearly	Our annual tradition: pretending to exercise.	私たちの毎年の恒例行事は「運動するフリ」。
annum	year	The fee is $300 per annum, or 300 instant noodles.	年額300ドル、あるいはカップ麺300個分。
anomaly	odd thing	This quiet Monday is an anomaly I don’t trust.	静かな月曜日は信用ならない異常事態だ。
anonymous	nameless	An anonymous hero returned my lost sock.	匿名のヒーローが私の靴下を返してくれた。
answer for ~	take responsibility for	I refuse to answer for the vanishing cookies.	消えたクッキーの責任は取りません。
anthropology	human study	I studied anthropology to understand why we love memes.	人類学を学んだ理由は、なぜ人はミームを愛するのか知りたかったから。
antibiotic	germ killer	He asked if snacks count as antibiotics. They don’t.	彼はスナックがお薬になるか聞いたが、ならない。
anticipate	expect	I anticipated a boring meeting but got a free cookie.	退屈な会議を予想してたらクッキーが出てきた。
antidote	cure	The antidote to Monday is usually caffeine and denial.	月曜日への解毒剤は大体カフェインと現実逃避。
antipathy	strong dislike	He has deep antipathy toward pineapple on pizza.	彼はピザのパイナップルに強い嫌悪感を持っている。
antipode	opposite	My cat and I are emotional antipodes.	私と猫は感情的に真逆の存在。
antiquated	old-fashioned	My phone is so antiquated it still fears Wi-Fi.	私のスマホは古すぎてWi-Fiを恐れている。
antiquity	ancient times	I studied antiquity and still can’t use Excel.	古代を学んだけど、今でもExcelは使えない。
antiseptic	germ-free	The room smelled like antiseptic and mild regret.	その部屋は消毒液とほんのり後悔の香りがした。
anxiety	worry	My anxiety throws surprise parties at 2 AM.	私の不安は午前2時にサプライズパーティーを開く。
anything but ~	not at all	My desk is anything but organized.	私の机は整理整頓とはほど遠い。
a pair of ~	two of ~	I bought a pair of socks and lost one instantly.	靴下を1組買って、すぐに片方なくした。
apart from ~	except for	Apart from Mondays, life is tolerable.	月曜日以外は、人生まあまあマシ。
apathy	no interest	His apathy toward laundry is legendary.	彼の洗濯への無関心は伝説レベル。
apologize to A for B	say sorry to A about B	I apologized to my cat for stepping on her tail.	猫のしっぽを踏んで謝った。
apparatus	tool	The kitchen apparatus looks advanced but makes only toast.	その調理器具はすごそうだけど、パンしか焼けない。
apparent	clear	It’s apparent he didn’t study—he brought snacks, not notes.	彼が勉強してないのは明らかだ。ノートじゃなくてスナック持ってきた。
appeal to ~	attract to	Cute fonts always appeal to my weak will.	かわいいフォントはいつも私の意志の弱さを攻めてくる。
appease	calm down	To appease my anxiety, I gave it chocolate.	不安をなだめるためにチョコをあげた。
appendix	added section	The report's appendix includes a full list of snack data.	レポートの付録にはスナックの全データがある。
appetite	hunger	My appetite for fries is eternal.	フライドポテトへの食欲は永遠。
applicant	job seeker	Each applicant must bring a pen and low expectations.	応募者はペンと低めの期待を持参してください。
application	request form	My phone has 73 open applications, all ignored.	スマホに開きっぱなしのアプリが73個あるけど全部放置。
apply	use	I applied logic, then ignored it completely.	論理を適用したあと、完全に無視した。
apply A to B	put A on B	He applied whipped cream to toast like it was art.	彼はトーストにホイップを塗るのを芸術のようにやった。
apply for ~	request ~	I applied for a job and accidentally sent a cat meme.	仕事に応募したけど猫のミームを間違えて送った。
appointments	meetings	I missed two appointments and one nap.	予定を2つすっぽかして昼寝も逃した。
apportion	divide	She apportioned the cake unfairly—and took the biggest slice.	彼女はケーキを不公平に分けて一番大きいのを取った。
appraise	evaluate	He appraised my lunch like it was a fine painting.	彼は私の弁当を芸術品のように評価した。
appreciable	noticeable	There was no appreciable difference between “studying” and “staring.”	「勉強」と「ぼーっとする」の間に明確な違いは見られなかった。
appreciate	value	I appreciate you not judging my snack pile.	私のお菓子の山を批判しないでくれて感謝。
appreciation	gratitude	My cat shows appreciation by not biting me (today).	猫は今日は噛まなかったことで感謝を表した。
apprehensive	nervous	I’m apprehensive about cooking without burning something.	何かを焦がさずに料理することに不安がある。
apprentice	learner	As a baking apprentice, I specialize in edible disasters.	ベイキング見習いとして、食べられる災害を量産している。
approve of ~	agree with	My dog doesn’t approve of vegetables in his bowl.	うちの犬はごはんに野菜が入っているのを認めていない。
approximately	about	It takes approximately 7 snacks to feel alive again.	生き返るにはだいたい7個のお菓子が必要。
aptitude	talent	She has an aptitude for finding lost remotes.	彼女はリモコンを見つける才能がある。
aquaculture	fish farming	Aquaculture sounds fancy but involves a lot of wet socks.	水産養殖って聞こえはいいけど、びしょ濡れの靴下がつきもの。
aquatic	water-based	He dreams of owning an aquatic hamster race track.	彼の夢は水中ハムスター競技場を持つこと。
A rather than B	AじゃなくてB	I chose sleep rather than cleaning.	掃除ではなく睡眠を選んだ。
arbitrary	random	My playlist is so arbitrary it goes from Mozart to memes.	私のプレイリストはモーツァルトからミームまでランダム。
arbitrate	judge	He was asked to arbitrate the Great Pizza Topping Debate.	彼は壮絶なピザのトッピング論争の仲裁を頼まれた。
archaeology	study of ancient things	I studied archaeology and dug up 300 pens from my room.	考古学を学び、自分の部屋からペンを300本発掘した。
ardour	passion	He spoke of instant noodles with unusual ardour.	彼はカップ麺について異様な情熱を語った。
argue	disagree	My siblings argue about whose turn it is to do nothing.	兄弟たちは「今日は誰が何もしない番か」で口論する。
arise	happen	Problems arise when snacks disappear mysteriously.	お菓子が謎に消えると問題が発生する。
arithmetic	math	Basic arithmetic fails when snacks are involved.	お菓子が絡むと算数が崩壊する。
army	military	My snack army stands ready—mostly made of chocolate.	私のスナック軍は出撃準備完了。主にチョコでできている。
arouse	trigger	The smell of toast can arouse ancient breakfast cravings.	トーストの香りは古代の朝ごはん欲を呼び起こす。
arrange for ~	set up	I’ll arrange for snacks at the meeting. That’s the real agenda.	会議用にお菓子を用意しておきます。それが本当の議題。
arrangement	plan	The seating arrangement put me next to the snack table.	席の配置がスナックテーブルの隣だった。
array	collection	She owns an impressive array of mugs with cat faces.	彼女は猫の顔がついたマグカップを大量に持っている。
arrogance	too much pride	His arrogance was so big, it needed its own chair.	彼の偉そうな態度は椅子ひとつ分の大きさだった。
artefact	old thing made by people	The artefact looked ancient—and slightly like a coffee mug.	その遺物は古く見えたが、どことなくマグカップに似ていた。
arthritis	joint disease	She has arthritis, so her fingers complain every morning.	彼女は関節炎なので、朝になると指が文句を言う。
articulate	speak clearly	He can articulate his ideas better than most adults.	彼は多くの大人よりも自分の考えをはっきり言える。
artifice	trick	That shortcut was pure artifice—and took twice as long.	その近道は完全なごまかしだった。かえって時間がかかった。
artificial	not real	This flower is so artificial, it smells like plastic.	この花は人工的すぎて、プラスチックのにおいがする。
artisan	craft worker	The artisan made the bowl by hand, with love and a few mistakes.	その職人は愛情と少しのミスを込めて手作りの器を作った。
as a matter of fact	in fact	As a matter of fact, I did my homework—just not all of it.	実は宿題やったよ。全部じゃないけど。
as a result	so	He forgot his umbrella. As a result, his hair became modern art.	彼は傘を忘れた。その結果、髪型が現代アートになった。
as a rule	usually	As a rule, I don’t trust group chats after midnight.	基本的に、深夜のグループチャットは信用していない。
as a token of ~	as a sign of ~	He gave her a pencil as a token of peace.	彼は仲直りの印として鉛筆をあげた。
as a whole	overall	As a whole, the movie was great—except for the plot, acting, and ending.	全体としてその映画は良かった。ストーリーと演技と結末を除けば。
ascertain	find out	We tried to ascertain who left the door open. No one confessed.	誰がドアを開けっぱなしにしたのか確かめようとしたが、誰も白状しなかった。
ascribe	say the reason is ~	They ascribe his energy to coffee. It’s mostly chaos.	彼の元気の理由はコーヒーだと言われているが、実際は混沌だ。
ascribe A to B	think A happens because of B	She ascribed her success to hard work—not just lucky timing.	彼女は成功の理由を努力だと考えている。運の良さだけじゃなく。
as far as ~	about ~	As far as I know, cats don’t need alarm clocks.	私の知る限り、猫に目覚ましは不要だ。
as follows	like this	The rules are as follows: 1) Don’t panic. 2) Try. 3) Repeat.	ルールは次の通り：1）あわてない　2）やってみる　3）繰り返す。
as for~	about ~	As for that idea… let’s pretend we didn’t hear it.	そのアイデアについては…聞かなかったことにしよう。
as good as ~	almost ~	This game is as good as finished—unless someone presses “restart.”	このゲームはもう終わったも同然。誰かが「再開」を押さなければ。
a sheet of ~	one piece of ~	He gave me a sheet of paper with exactly one useful word.	彼は紙を一枚くれた。その中で使える言葉は1つだけだった。
ashore	onto land	They finally made it ashore, tired and full of new stories.	彼らはついに岸にたどり着いた。疲れていたが話のネタは満載だった。
as is often the case with ~	usually happens with ~	As is often the case with shortcuts, this one took longer.	近道にありがちなことだが、かえって時間がかかった。
as it were	so to speak	He was, as it were, the team’s “walking alarm clock.”	彼はいわばチームの「歩く目覚まし」だった。
ask a favour of ~	request help from ~	I’d like to ask a favour of you—but it doesn’t involve heavy lifting.	お願いがあるんだけど、重いものは運ばせないよ。
ask for ~	request	He asked for help but made it sound like a challenge.	彼は助けを求めたが、まるで挑戦状のようだった。
aspiring	hoping to be	She's an aspiring artist—her sketchbook is 90% dragons.	彼女は芸術家志望で、スケッチブックの9割がドラゴンの絵だ。
as regards ~	about	As regards the group project, no one remembers who started it.	グループ課題については、誰が始めたか誰も覚えていない。
assassinate	kill someone important	The movie hero tried to assassinate the villain—with a pie.	映画の主人公は敵を暗殺しようとした…パイで。
assault	attack	The report was so boring, it felt like a mental assault.	その報告書は退屈すぎて、頭を攻撃された気分になった。
assay	test or check	We assayed the idea by asking three people and a cat.	私たちはそのアイデアを3人と猫に聞いて試してみた。
assemble	bring together	We tried to assemble the shelf, but ended up with abstract art.	棚を組み立てようとしたが、できたのは抽象アートだった。
assent	agree	She gave a small nod of assent, mostly to end the meeting.	彼女は小さくうなずいた。同意というより会議を終わらせたくて。
assert	say strongly	He asserted he wasn’t wrong—just "creatively correct."	彼は自分が間違っていないと主張した。「創造的に正しい」だけだと。
assess	judge or check	We assessed the mess and called it "organized chaos."	私たちはその散らかりを見て「整理されたカオス」と判断した。
asset	useful thing	Her ability to stay calm during panic is a real asset.	パニック中に冷静でいられる能力は本当に貴重だ。
assiduous	hard-working	He’s so assiduous, even his to-do list has a to-do list.	彼はとても勤勉で、ToDoリストにもToDoリストがある。
assign	give a task	The teacher assigned us homework before we could escape.	先生は私たちが逃げる前に宿題を出した。
assimilate	become like others	She assimilated fast—by learning memes and inside jokes.	彼女はすぐになじんだ。ミームと内輪ネタで。
associate	connect or link	I always associate rainy days with long naps.	雨の日といえば長い昼寝を思い出す。
assonance	repeating vowel sounds	The poem’s assonance made it flow like a sleepy song.	その詩の母音の響きは、まるで眠たくなる歌のようだった。
as such	in that way	He’s not a leader as such, but people follow his ideas.	彼はいわゆるリーダーではないが、皆が彼の考えについていく。
assumed	supposed	I assumed the test was easy. It was not.	そのテストは簡単だと思っていた。違った。
assurance	confidence or promise	He gave his assurance, but forgot 10 seconds later.	彼は自信満々に約束したが、10秒後には忘れていた。
asteroid	small space rock	The asteroid flew by Earth while everyone was watching cat videos.	小惑星は地球のそばを通過した。みんなが猫動画を見ている間に。
as the saying goes	as people often say	As the saying goes, “Better late than confusing.”	ことわざにあるとおり、「遅れても意味不明よりマシ」だ。
asthma	trouble with breathing	He blamed his slow run on asthma—and tight shoes.	彼は走るのが遅いのを喘息ときつい靴のせいにした。
as to ~	about	As to the missing cookies, I have no comment.	クッキーがなくなった件については、ノーコメントです。
astonishing	very surprising	Her room was astonishingly clean. I thought I was in the wrong house.	彼女の部屋が驚くほどきれいで、家を間違えたかと思った。
astray	lost or off track	My thoughts went astray after slide 2 of the presentation.	プレゼンの2枚目で私の思考は迷子になった。
astronaut	space traveler	The astronaut said zero gravity is fun—until lunchtime.	宇宙飛行士は無重力は楽しいと言っていた。昼ご飯までは。
astronomer	space scientist	The astronomer looked serious—until he found a typo in the stars.	天文学者は真剣だった。星の中にスペルミスを見つけるまでは。
as usual	like always	As usual, he arrived late but with a good excuse.	いつも通り、彼は遅れてきたが言い訳は完璧だった。
~ as well	also	I brought my bag—and my bad mood as well.	カバンと一緒に、機嫌の悪さも持ってきた。
as yet	up to now	No one has, as yet, explained why the fire alarm smells like toast.	今のところ、火災報知器がトーストのにおいがする理由は誰も説明していない。
asylum	place of safety or care	He treated the library like an asylum from social interaction.	彼は図書館を人付き合いから逃れる避難所として扱っていた。
asymmetrical	not even	The drawing was asymmetrical, like it was nervous to be looked at.	その絵は非対称で、見られるのが苦手な感じだった。
at a glance	with a quick look	At a glance, the instructions looked easy. They were not.	一目見た限り、その説明は簡単そうだった。実際は違った。
at all times	always	The door must stay closed at all times—especially when it wants to open.	ドアは常に閉めておくこと。特に勝手に開きたがるときは。
at a loss	confused or unsure	I was at a loss when the printer asked me for “emotional support.”	プリンターに「心の支えが必要」と言われて困惑した。
at an end	finished	The semester was finally at an end. So was my energy.	学期がようやく終わった。私の体力も一緒に。
at any cost	no matter what	I must finish this game today, at any cost—even sleep.	このゲームは今日中にクリアする。睡眠を犠牲にしてでも。
at any moment	very soon	The teacher could call on me at any moment—so I looked busy.	先生がいつでも私を指名しそうだったので、忙しいフリをした。
at any rate	in any case	At any rate, the plan failed, but we learned… something.	とにかく、その計画は失敗したが、何かは学んだ。
at any time	whenever	You can join the meeting at any time, especially if you enjoy confusion.	いつでも会議に参加していいよ。混乱が好きなら特にね。
at a time	one by one	Please enter the room one at a time, unless you're synchronized.	1人ずつ入室してください。ただしシンクロしてるなら別。
at best	maybe, but not much	The result was a success at best, a disaster at worst.	結果はうまくいったとしてもせいぜい普通、悪く言えば惨事だった。
at ease	relaxed	He looked at ease—even though the fire drill just started.	彼はくつろいで見えた。避難訓練が始まったばかりなのに。
at face value	as it seems	Don’t take his “I’m fine” at face value—check the eye twitch.	彼の「大丈夫」はそのまま信じないで。まばたきの速さを見て。
